area;UNIDADE;SOLO_EMBRA;MAT_ORIGEM;LEGENDA;Declividade (calculada em aula)
98,55515538;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
627,6638513;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
272,1059766;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
318,1417736;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
70503,9891;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
232,6353676;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
4819,076077;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
56266,47982;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
251,5671343;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2130,245013;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
18162,70074;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
129,2016892;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
304,263437;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
2819,491089;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
1432,332222;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;5
1926,45363;Facies Caxias;Neossolo Regolítico húmico típico;Xisto;Uso agricola misto;4
17144,20106;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2786,658001;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
38419,69232;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
34588,91402;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata com ate 50% de antropico;3
34588,91402;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata com ate 50% de antropico;3
561,7866319;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1853,688665;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1394,539829;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
663,6997612;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
905,0222178;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1420,030633;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2278,481903;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1523,850156;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
252,6735611;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Uso agricola misto;5
4590,414747;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
10816,66535;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
8740,41453;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
8740,41453;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
1004,730235;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
